WORD	ANG. SPEL.	MEANING	KIND	FOREBEAR	WHENCE	NOTES
liffeting		᛫ flattery ᛫ adulation ᛫	N	lyffetung	OE	
lift		᛫ air ᛫ the sky ᛫ the heavens ᛫ an elevator ᛬ to elevate ᛫	N᛬V	~[lyft]	NE	
lift		᛫ aero- ᛫	PREFIX	lyft	OE	
liften		᛫ aerial ᛫	AJ	lyften	OE	
liftfleet		᛫ an air force ᛫	N	lift+fleet	NE×2	calque: luchtvloot
lifthaven	lifþafen	᛫ an airport ᛫	N	lift+haven	NE×2	calque: luchthaven
liftlore		᛫ aerology ᛫	N	lyft+lore	ME+NE	
liftshell	liftscell	᛫ an atmosphere ᛫	N	lyft+shell	ME+NE	
liftship	liftscip	᛫ an airship ᛫	N	lift+ship	NE×2	calque: luchtschip
liggat		᛫ a gate ( especially a swinging one ) ᛫	N	~[hlidgeat]	NE	
light	ligt	᛫ to come upon ᛫ to discover by chance ᛫	V	~	NE	
light saregun	ligt	᛫ a light machine gun ᛫	N	light+searu+gun	NE+OE+NE‹N	calque: light machine gun
Lightbearend	Ligtbearend	᛫ Lucifer ᛫	N	lēohtberend	OE	
lightbere	ligtbere	᛫ luminous ᛫ brilliant ᛫ splendid ᛫ lightbearing ᛫	AJ	lēohtbǣre	OE	
lighteared	ligteared	᛫ credulous ᛫	AJ	~	NE	light-eared
lighten	ligten	᛫ to make or become lighter ᛫ to brighten ᛫ to enlighten ᛫ to flash with lightning ᛫	V	~	NE	
lightminded	ligtminded	᛫ not given to heavy thoughts or thinking ᛫ frivolous ᛫ not serious ᛫	AJ	~	NE	
lightmindedness	ligtmindedness	᛫ lack of seriousness ᛫ frivolity ᛫	N	~	NE	
lightmood	ligtmood	᛫ light-hearted ᛫ easy-tempered ᛫	AJ	lēohtmōd	OE	
lightmote	ligtmote	᛫ a photon ᛫	N	light+mote	NE×2	
lightsome	ligtsum	᛫ lighthearted ᛫ airy ᛫ nimble ᛫ bright ᛫	AJ	~	NE	
lightvat	ligtfatt	᛫ lamp ᛫ lantern ᛫	N	leohtfæt	OE	
likelihood		᛫ probability ᛫ chance ᛫	N	~	NE	
likely		᛫ probable ᛫	AJ	~	NE	
likely		᛫ probably ᛫	AJ	~	NE	
liken		᛫ to compare ᛫	V	~	NE	
likeness		᛫ a resemblance ᛫ a photograph ᛫	N	[gelicness]	NE	
likening		᛫ a comparison ᛫	N	~	NE	
likesome	likesum	᛫ agreeable ᛫ pleasant ᛫ likable ᛫	AJ	~	NE	
likewise	likeƿise	᛫ similarly ᛫	AV	~	NE	
likeworthy	likeƿorþy	᛫ likeable ᛫	AJ	likworthe	ME	
liking		᛫ pleasure ᛫ enjoyment ᛫ delight ᛫	N	liking&līking	NE&ME	
lim		᛫ to sound ᛫	V	hlimman	OE	
limbmeal		᛫ limb from limb ᛫ in pieces ᛫	AV	~	NE	[MW]
lime		᛫ glue ᛫ mortar ᛫ cement ᛫ calcium oxide ᛫	N	~	NE	
limp		᛫ an event ᛫ a chance happening ᛬ to happen ᛫ to occur ᛫	N᛬V	limp&gelimp	ME&ME	PST: lamp ᛫ PTCP: lump
lin		᛫ to cease ᛫ to desist ᛫ to stop ᛫	V	lin[linnen]	NE	
linch	linc	᛫ a ledge ᛫	N	~[hlinc]	NE	[CED]
lind		᛫ a Tilia plant ( linden trees , basswood trees , and lime trees ) ᛫	N	~	NE	
lind		᛫ suet ᛫ lard ᛫ fat ᛫	N	lynd/lind	OE	especially belly/loin fat?
line		᛫ made of flax ᛫	AJ	lī̆n	ME	
linen		᛫ cloth woven from flax ᛬ made of flax ᛫	N᛬AJ	~	NE	
ling		᛫ ( diminutive suffix ) ᛫	SUFFIX	~	NE	
linger		᛫ to remain ᛫ to loiter ᛫	V	lengeren	NE‹ME‹N	
linking		᛫ connecting ᛫ joining ᛫ copular ( like in linking verb ) ᛫	AJ	~	NE	
lippen		᛫ to rely on ᛫ to trust ᛫ to entrust ᛫	V	~[lipnen]	NE	"I lippen to your word" not "I lippen your word"
lippy		᛫ labial ᛫	AJ	lip+y	NE×2	
lire		᛫ flesh ᛫ meat ᛫	N	lire&līre	NE&ME	
lise		᛫ a report ᛫ fame ᛫ reputation ᛫ renown ᛬ to give credit ᛫	N᛬V	hlīsa&hlīsan	OE	
liss		᛫ contentment ᛫ relief ᛫ respite ᛬ to relieve ᛫ to assuage ᛫	N᛬V	lis&lissen[lis]	ME	
lissome	lissum	᛫ nimble ᛫ supple ᛫ agile ᛫ easily flexed ᛫	AJ	~	NE	or: lissom ᛫ equal to: lithe+some
list		᛫ an art ᛫ a craft ᛫ art ᛫	N	list&list	ME&OE	
list		᛫ desire ᛫ inclination ᛫ craving ᛫ enthusiasm ᛬ to desire ᛫ to crave ᛫	N᛬V	~[listen][lystan]	NE	[OXF]
listener		᛫ a microphone ᛫	N	~{speaker}	NE	
listful		᛫ attentive ᛫	AJ	~	NE	
listless		᛫ desireless ᛫ lacking enthusiasm spirit and liveliness ᛫ apathetic ᛫	AJ	~	NE	
lite		᛫ looks ( usually good looks ) ᛫ beauty ᛫ a countenance ᛫ an appearance ᛫ a style ᛫ an aesthetic ᛬ to look ᛫ to gaze ᛫	N᛬V	wlite&wlītan{andwlita}	ME&OE	
liteful		᛫ beautiful ᛫ handsome ᛫ comely ᛫ aesthetic [ᚹ] ᛫	AJ	wlitefull	OE	
liteless		᛫ hideous ᛫ without beauty ᛫	AJ	wlitelēas	OE	
liteworth	liteƿorþ	᛫ a ransom ᛫	N	wliteweorþ	OE	
litey		᛫ beautiful ᛫ comely ᛫ attractive ᛫	AJ	wlitig	OE	
lith	liþ	᛫ a slope ᛫	N	lith[hliþ]	ME	
lith	liþ	᛫ a limb ᛫ a joint ᛫ a segment ᛫ a member ( anatomy ) ᛫	N	~	NE	
lithe	liþe	᛫ to sail ᛫ to travel by sea ᛫ to travel ᛫ to journey ᛫	V	līthen[līþan]	ME	
lithe	liþe	᛫ flexible ᛫ limber ᛫ mellow ᛫ gentle ᛫ mild ᛫	AJ	lithe&līthe	NE&ME	
lithe	liþe	᛫ strong drink ᛫ wine ᛫	N	līþ	OE	
litheby	liþeby	᛫ meek ᛫ compliant ᛫ obedient ᛫	AJ	lethebei [liþebige]	ME	
lither	liþer	᛫ base ᛫ vile ᛫ depraved ᛫ wicked ᛫ lewd ᛫ sordid ᛫ lazy ᛫ worthless ᛬ wickedly ᛫ treacherously ᛫ poorly ᛫	AJ᛬AV	lither[lyþre]	ME	rhyme: slither
lither	liþer	᛫ a sling ᛫ a launcher ᛬ to sling ᛫ to launch ᛫	N᛬V	lithere[liþere]&litheren	ME	
lithsew	liþseƿ	᛫ synovia ᛫ synovial fluid ᛫	N	liþsēaw	OE	
litten		᛫ a graveyard ᛫ a cemetery ᛫	N	litton[litton][līctūn]	ME	
littiness		᛫ slyness ᛫ craftiness ᛫ cunningness ᛫ astuteness ᛫	N	lytigness	OE	
Little Dipper	Littel	᛫ a bright circumpolar asterism of the northern sky which is part of Ursa Minor ᛫	N(P)	~	NE	
littlefinger	littelfinger	᛫ the pinky ᛫	N	~	NE	
littlom		᛫ gradually ᛫	AV	litlum[lȳtlum]	ME	
live	lif	᛫ to exist ( especially of animate things ) ᛫	V	~	NE	
livelihood	lifelihood	᛫ a means of securing the necessities of life ᛫	N	~	NE	
livelong	liflong	᛫ the orphine ( Hylotelephium telephium ) ᛬ whole ᛫ entire ᛫	N᛬AJ	~	NE	
liven	lifen	᛫ to enliven ᛫	V	~	NE	
liveradle	liferadel	᛫ a liver disease ᛫	N	liferādl	OE	
liverwort	liferƿort	᛫ a Marchantia polymorpha plant ᛫	N	~[liverwort][liferwyrt]	NE	
livingroom	lifingroom	᛫ a family room ᛫	N	~	NE	
lix		᛫ to flash ᛫ to glitter ᛫	V	līxan	OE	
lo		᛫ ( used to draw attention ) ᛫	I	lo	NE	
load		᛫ to charge ( with electricity ) ᛫	V	load&laden	NE&FR	
load		᛫ an exculpation ᛫ a purgation ᛫ an excuse ᛫	N	lād	OE	
loadboard		᛫ a pallet ( as in a portable platform for stacking goods ) ᛫	N	load+board	NE×2	calque: laadbord
loading		᛫ an excuse ᛫ an exculpation ᛫ a defence ᛫	N	lādung	OE	
loanwend	loanƿend	᛫ a loan translation ( a calque ) ᛫	N	loan+wend	NE‹N+ME	calque: loan translation ᛫ or: leanwend (loan is Norse)
loast		᛫ a track ᛫ a footprint ᛫ a trace ᛫ a trail ᛬ to track ᛫ to trace ᛫ to trail ᛫	N	lāst	OE	
loath	loaþ	᛫ averse ᛫ disinclined ᛫ reluctant ᛫ unwilling ᛫	AJ	~	NE	or: loth ᛫ [OXF]
loathe	loaþe	᛫ to greatly hate ᛫ to detest ᛫ to revile ᛫	V	~	NE	
loathly	loaþly	᛫ loathsome ᛫ repulsive ᛬ reluctantly ᛫	AJ᛬AV	~[lāþlic]	NE	
loathsome	loaþsum	᛫ repulsive ᛫ offensive ᛫ abominable ᛫	AJ	~	NE	
loathspel	loaþspel	᛫ a tragic story ᛫ an unpleasant story ᛫	N	lāþspell	OE	
loave	lofe	᛫ praise ᛫ good reputation ᛫ price ᛫ value ᛫ an offer for sale ᛬ to praise ᛫ to approve ᛫ to appraise ᛫ to set a price on ᛫ to offer for sale ᛫	N᛬V	lō̆f&lō̆ven	ME&ME	
loavebere	lofebere	᛫ laudatory ᛫	AJ	lōfbǣre	OE	
loavedeed	lofedeed	᛫ a praiseworthy deed ᛫	N	lōfdǣd	OE	
loaveful	lofeful	᛫ amorous ᛫	AJ	~	NE	
loavely	lofely	᛫ praiseworthy ᛫ laudable ᛫ honourable ᛫	AJ	lōfli	ME	
loavesome	lofesum	᛫ deserving praise ᛫ excellent ᛫ noble ᛫	AJ	lōfsum	OE	
loavesong	lofesong	᛫ a song of praise ᛫ a hymn ᛫ a psalm ᛫	N	lōfsang	OE	
lock		᛫ a tuft of hair ᛫	N	~	NE	
lock		᛫ -ation ᛫	SUFFIX	~	NE	
lock		᛫ to allure ᛫ to entice ᛫ bait ᛫	V	loccian	OE	kin: lokken (Dutch)
locker		᛫ to curl ᛫	V	~[lokeren]	NE	
lockered		᛫ curly ᛫ curled ᛫ tangled ᛫ matted ᛫	AJ	~	NE	
lodder		᛫ a poor person ᛫ a pauper ᛫ a worthless person ᛫	N	loddere	OE	
loddering		᛫ nonsense ᛫ rubbish ᛫ triviality ᛫	N	lodrung	OE	
lode		᛫ a deposit of ore ᛫ a resource ( especially ore ) ᛫ a supply ( especially of ore ) ᛫ a course ᛫ a journey ᛫ a voyage ᛫	N	lode&lōd[lād]	NE&ME	kin: load
lodestar		᛫ a guiding star ᛫ a tenet ᛫ a guiding principle ᛫	N	~	NE	[OXF]
lodestone		᛫ magnetite ᛫ a naturally occurring magnet ᛫ someone or something that is the focus of attention ᛫	N	~	NE	
lofty		᛫ elevated ( literally and figuratively ) ᛫ noble ᛫	AJ	~	NE‹(N+E)	
logboat		᛫ a dugout canoe ᛫	N	~	NE	
loke		᛫ a private road ᛫ a blind alley ᛫	N	~	NE	[MW]
loke		᛫ to play ᛫ to wave or to swing about ᛫	V	lācan	OE	
loken		᛫ to heal ᛫ to cure ᛫ to treat a wound or illness ᛫ to tend to ᛫ to take care of ᛫ to dress a wound ᛫	V	lācnian	OE	
lokening		᛫ -therapy ᛫	SUFFIX	lācnung	OE	
lokening		᛫ healing ᛫ cure ᛫ remedy ᛫ medicine ᛫	V	lācnung	OE	
Loller		᛫ a Lollard ᛫ a protestant [ᚹ] ᛫	N	loller	ME	SEE NOTE
Londonbury		᛫ the City of London ᛫	N	Lundenbyrig	OE	
lone		᛫ solitary ᛫ isolated ᛫ sole ᛫ single ᛫ individual ᛫	AJ	~	NE	
lonesome	lonesum	᛫ solitary ᛫ lonely ᛫ unfrequented ᛫	AJ	~	NE	
long		᛫ to have a strong wish or desire ᛫	V	~	NE	
long		᛫ to concern [ᚾ] ᛫ to pertain [ᚾ] ᛫ to relate [ᚾ] ᛫ to be affiliated [ᚾ] ᛫	V	lō̆ngen	ME	generally used with "to"
long hundred		᛫ 120 ᛫	N	long hundred	ME	
long sweetening	sƿeetening	᛫ molasses ᛫	N	~	NE	South & Midland US
Longbeard		᛫ a Lombard ᛫	N(P)	langbeard	OE	
longgun		᛫ a gun with a long barrel ᛫ a cannon ᛫	N	~	NE	
longminded		᛫ longanimous ᛫	AJ	~	NE	
longmindedness		᛫ longanimousness ᛫	N	~	NE	
longmood		᛫ patient ᛫	AJ	langmōd	OE	
longmoodly		᛫ patiently ᛫	AV	langmōdlīce	OE	
longmoodness		᛫ patience ᛫	N	langmōdness	OE	
longplayer		᛫ a kind of vinyl record ᛫ an album of music which is full length ᛫	N	~	NE	"LP" for short
longsome	longsum	᛫ tediously long ᛫	AJ	~[langsum]	NE	
longwinded	longƿinded	᛫ of continuing at tedious length ᛫	AJ	~	NE	
lonk		᛫ pride ᛫ arrogance ᛬ physically beautiful ᛫ graceful ᛫ noble ᛫ fine ᛫ splendid ᛫ majestic ᛫ arrogant ᛫ haughty ᛫ proud ᛫ pompous ᛫	N	wlonk[wlanc]	ME	
lonkful		᛫ arrogant ᛫ full of arrogance ᛫	AJ	wlonkful	ME	
loof		᛫ the palm of the hand ᛫	N	~	NE‹N	
looking glass		᛫ a mirror ᛫	N	~	NE	
lookout	lookute	᛫ an observation post ᛫ a sentinel ᛫ sentry ᛫	N	~	NE	
looks		᛫ one's physical appearance or attractiveness ᛫	N	~	NE	
loom		᛫ an implement ᛫ a means ( figurative ) ᛫ a weaving machine ᛫ a device ᛫ a machine ᛫	N	loom&lōme	NE&ME	
loose		᛫ relaxed ᛫ unrestrained ᛫ unsecure ᛫	AJ	~	NE‹N	
lootby		᛫ a concubine ᛫ a paramour ᛫	N	loteby	ME	
looth	looþ	᛫ booty ᛫ spoils ᛬ to take booty ᛫	N᛬V	hlōþ&hlōþian	OE	
lop		᛫ a spider ᛫ a flea ᛫ a fly ᛫ an insect [ᚹ] ᛫	N	loppe	ME	
lord		᛫ a master ᛫ a nobleman ᛫	N	~	NE	
lordly		᛫ noble ᛫	AJ	~	NE	
lordship	lordscip	᛫ dominion ᛫ authority ᛫ domain ᛫ jurisdiction ᛫ the state of being a lord ᛫	N	~	NE	
lordswike	lordsƿike	᛫ a traitor to one's lord ᛫	N	lordswike	ME	
lore		᛫ a body of knowledge ᛫	N	~	NE	
lore		᛫ -ology ᛫	SUFFIX	~	NE	
lorebisen		᛫ a specimen ᛫	N	lārbysn	OE	
loreboder		᛫ a preacher ᛫	N	lārbodung+er	OE+NE	
loreboding		᛫ preaching ᛫	V	lārbodung	OE	
lorebook		᛫ a textbook ᛫	N	lārbōc	OE	
lorefather	lorefaþer	᛫ a teacher ᛫	N	lōrefader	ME	
lorehouse	lorehuse	᛫ a school ᛫ a university ᛫ a college ᛫	N	lārhūs	OE	
lorel		᛫ a rogue ᛫ a rascal ᛫ a scoundrel ᛫ a wretched person ᛫	N	~	NE	[MW]
loreless		᛫ lacking learning or knowledge ᛫ ignorant ᛫	AJ	~	NE	[MW]
lorelest		᛫ ignorance ᛫ educationlessness ᛫	N	lārlēast	OE	
lorelistend		᛫ one who listens to instruction ᛫ a catechumen ᛫	N	lārhlystend	OE	
lorelship	lorelscip	᛫ rascality ᛫	N	lorelshipe	ME	
lorely		᛫ instructive ᛫ of or pertaining to lore ᛫	AJ	lārlīc	OE	
lorequid	lorecƿid	᛫ a precept ᛫ a doctrine ᛫	N	lārcwide	OE	
loresman		᛫ an instructor ᛫ an expert ᛫ a master of a field of knowledge ᛫	N	loresman	ME	earthloresman = geologist"
loresmith	loresmiþ	᛫ a wise man ᛫	N	lārsmiþ	OE	
lorespel		᛫ a sermon ᛫ an epistle ᛫ a treatise ᛫ an essay ᛫	N	lōrespel[lārspell]	ME	
loreswike	loresƿike	᛫ false lore ᛫ pseudo-science ᛫	N	lārswic	OE	
lorethew	loreþeƿ	᛫ a teacher ᛫ an instructor ᛫ a preceptor ᛫ a professor [ᚹ] ᛫	N	lorthew{lareow}	ME	or: larew (from ME lareow, a shortened version of the word)
lorewit	loreƿit	᛫ a learned man ᛫	N	lārwita	OE	
lorn		᛫ doomed ᛫ lost ᛫ forlorn ᛫ desolate ᛫	AJ	~	NE	[MW]
losel		᛫ a worthless person ᛫	N	~	NE	[MW]
loseyns		᛫ lasagna / lasagne ᛫	N	loseyns	ME‹I	
loss		᛫ a defeat ᛫	N	~	NE	
lot		᛫ a large quantity ᛫ a bunch of people ᛫ a portion ᛫ an allotment ᛫ one's role in life ᛫ a role ᛫	N	~	NE	
loth	loþ	᛫ a cloak ᛫ an upper garment ᛫ a mantle ᛫	N	loþa	OE	maybe should be "lother"?
loud	lude	᛫ a sound ᛫ a noise ᛬ to sound ᛫	N᛬V	lūde[hlȳd]&hlȳdan	ME&OE	
loudlore	ludelore	᛫ acoustics ᛫	N	lūde+lore	ME+NE	
lough	luge	᛫ a place ᛫ a stead ᛫	N	logh[lōh]	ME	rhyme: tough or plough
lough	luge	᛫ a loch ᛫	N	lough[luh]	ME‹OE‹C	rhyme: plough
louk	look	᛫ to close ᛫ to shut ᛫ to fasten ᛫ to lock up ᛫ to enclose ᛫ to surround ᛫	N	~	ANE	rhyme: luke; brook
louse	luse	᛫ an Anoplura insect ᛫ a Mallophaga insect ᛫	N	louse	NE	PL: lice
lousy	lusey	᛫ full of lice ᛫ of low quality ᛫ contemptible ᛫ paltry ᛫	AJ	lousy	NE	
lout	lute	᛫ to lurk ᛫ to lie hidden ᛫	V	lǒuten[lūtian]{lōten}	ME	
lout	lute	᛫ an awkward brutish person ᛬ to bow in respect ᛫ to submit ᛫ to yield ᛫	N᛬V	lout[louten]	NE	
love	luf	᛫ extreme affection ᛫	N	~	NE	
loveapple	lufappel	᛫ a tomato ᛫	N	~	NE	
loveling	lufling	᛫ a dear and lovely creature ᛫ a darling ᛫	N	~	NE	[MW]
lovelorn	luflorn	᛫ without love ᛫	AJ	~	NE	
lovendly	lufendly	᛫ adorable ᛫ lovable ᛫	AJ	love+enlīc	NE+ME	
lovered	lufred	᛫ love ( opposite of hatred ) ᛫	N	lovereden	ME	
lovesome	lufsum	᛫ affectionate ᛫ amorous ᛫	AJ	~	NE	[MW]
lovetoken	luftoken	᛫ something given as a sign or token of love ᛫	N	love token	NE	
loveworthy	lufƿorþy	᛫ lovable ᛫ meriting love ᛫	AJ	~	NE	
low	loƿ	᛫ a mound ( especially a burial mount ? ) ᛫ a tumulus ᛫	N	~[hlǣw]	NE	rhyme: snow
low	loƿ	᛫ to moo ᛫	V	~[hlōwan]	NE	rhyme: snow
lowend	loƿend	᛫ of the lowest quality ᛫	AJ	~	NE	
lower chavelbone	loƿer cafelbone	᛫ a mandible ᛫	N	lower+chavel+bone	NE‹N+ME+NE	or: nether chavelbone
lower noseshell	loƿer nosescell	᛫ an inferior nasal concha ᛫	N	lower+nose+shell	NE‹N+NE×2	or: nether noseshell ᛫ calque: onderste neusschelp
lowkey	loƿkey	᛫ subtle ᛬ subtly ᛫	AJ᛬AV	~	NE‹(N+E)	
lowland	loƿland	᛫ a stretch of low or unmountainous land ᛫	N	~	NE	
lowlife	loƿlife	᛫ a despicable person ᛫ a scoundrel ᛫	N	~	NE‹(N+E)	
lowling	loƿling	᛫ a person of low status ᛫ a commoner ᛫	N	~	NE‹(N+E)	
lowminded	loƿminded	᛫ inclined to vulgar or unworthy things ᛫	AJ	~	NE‹(N+E+E)	[MW]
lox		᛫ a lynx ᛫	N	lox	OE	
Ludder		᛫ a Luddite ᛫ one opposed to technological change ᛫	N	~	NE	or: Ludd
lungwort	lungƿort	᛫ a Helleborus niger plant ᛫	N	lǒngwort[lungenwyrt]	ME	
lur		᛫ destruction ᛫ perdition ᛫ damage ᛫ loss ᛫	N	lire/lure[lyre]	ME	
lurk		᛫ a method of fraud ᛫	N	~	NE	from the verb "lurk" ᛫ slang
lurry		᛫ destructive ᛫	AJ	lure+y	ME+NE	
lust		᛫ desire ᛫ appetite ᛫ craving ᛫	N	lust&lust	NE&OE	
lustbere		᛫ desirable ᛫	AJ	lustbǣre	OE	
lustihood		᛫ licentiousness ᛫	N	~	NE	
lusty		᛫ vigorous ᛫	AJ	~	NE	
lutter		᛫ clear ᛫ pure ᛫ unadulterated ᛫ innocent ᛫ sincere ᛫ authentic ᛫	AJ	lutter[hlutor]	ME	
lutty		᛫ sly ᛫ crafty ᛫ cunning ᛫ astute ᛫	AJ	lutiȝ[lytig]	ME	
lye		᛫ fire ᛫ lightning ᛫ plasma [ᚹ] ᛬ to blaze ᛫	N᛬V	lei/lye&leien[līg]	ME&ME	
Lyor		᛫ Loire ᛫	N(P)	ligore	OE	
Mackedony		᛫ Macedonia ᛫ Macedon ᛫	N(P)	mæcedonie	OE	
mad		᛫ insane ᛫ frenzied ᛫ crazy ᛫	AJ	~	NE	
madapple	madappel	᛫ an aubergine ᛫ an eggplant ᛫ a brinjal ᛫	N	~	NE	"earliest use found in Henry Lyte (1529–1607)" - Lexico
madden		᛫ to derange ᛫	V	~	NE	
maddock		᛫ an earthworm ᛫ a maggot ᛫	N	~	ANE	
madhouse	madhuse	᛫ a psychiatric institution ᛫ a chaotic place ᛫	N	~	NE	
madness		᛫ insanity ᛫	N	~	NE	
Maid		᛫ Virgo ᛫	PN	~	ANE	
maid		᛫ a female domestic servant ᛫ a girl ᛫	N	~	NE	
maiden		᛫ a girl ᛫ a young woman ᛫ an unmarried girl ᛫ an unmarried young woman ᛫ a virgin ᛫	N	~[mægden]	NE	
maidenhead		᛫ the hymen ᛫	N	~	NE	
maidenhood		᛫ virginity or celibacy ( of both men and women ) ᛫	N	~	NE	
mail		᛫ earnest ᛫ firm ᛫ strenuous ᛫	AJ	meagol	OE	
mailness		᛫ earnestness ᛫	N	meagolness	OE	
maily		᛫ earnestly ᛫ strenuously ᛫	AV	meagollīce	OE	
main		᛫ power ᛫ might ᛫ ability ᛫ efficacy ᛫ capacity ᛫ combat troops ᛫ military force ᛬ principle ᛫ prime ᛫ chief ᛬ very ᛫	N᛬AJ᛬AV	main&main&mægen	NE&ME&OE	
mainframe		᛫ a large powerful computer used to perform many simultaneous complex tasks ᛫	N	~	NE	
mainful		᛫ powerful ᛫ mighty ᛫	AJ	mainful	ME	
mainhew	mainheƿ	᛫ a primary colour ᛫	N	main+hue	NE×2	
mainless		᛫ weak ᛫ feeble ᛫ powerless ᛫	AJ	mægenlēas	OE	
mainly		᛫ principally ᛫ chiefly ᛫ mostly ᛫	AV	~	NE	
mainstay		᛫ a chief support ᛫ a regular contributor ᛫	N	~	NE	"stay" is a nautical word from Old English.
mainstream		᛫ the ideas , attitudes , or activities that are regarded as normal or conventional ᛫	AJ	~	NE	
mair		᛫ to macerate ᛬ meager ᛫ lean	V᛬AJ	mæger&mægerian	OE&OE	kin: meager
maister		᛫ a magister ᛫ a master ᛫ a man having control or authority over a place ᛫	N	magister/mægister	OEᚠI	
maith	maiþ	᛫ the Anthemis cotula plant ( stinking camomile ) ᛫	N	maithe	ME	
maith	maiþ	᛫ a family ᛫ relatives ᛫ a tribe ᛫ a clan ᛫	N	mæith&mǣgþ	ME&OE	
maith	maiþ	᛫ a girl ᛫ a maiden ᛫ a virgin ᛫	N	mægþ	OE	
maithhood	maiþhood	᛫ virginity ᛫	N	mægþhad	OE	see: maidenhood
make		᛫ a married couple ᛫ a couple ᛫ a mate ᛫ an equal ᛫ a peer ᛫ a rival ᛫ a counterpart ᛬ to mate with ᛫ to marry ᛫ to pair with ᛫	N᛬V	māke[gemaca]&māken	ME&ME	
make		᛫ to create ᛫ to produce ᛫ to cause ᛫	V	~	NE	
make up		᛫ to invent ᛫ to fabricate ᛫	V	~	NE	
makebelief	makebeleef	᛫ the abstract quality of making believe ᛫	N	~	NE	
makebelieve	makebeleef	᛫ the act of pretending ᛬ to pretend ᛬ imaginary ᛫	N᛬V᛬AJ	~	NE	
makegame		᛫ an object of ridicule ᛫	N	~	NE	
makeover	makeofer	᛫ an overhaul of something's or someone's appearance ᛫	N	~	NE	
maker		᛫ a creator ᛫ a producer ᛫	N	~	NE	
makeshift	makescift	᛫ a usually crude and temporary expedient ᛬ impromptu ᛫ ad hoc ᛫	N᛬AJ	~	NE	
making		᛫ cause ᛫	N	~	NE	
Malawi Mere	Malaƿee	᛫ Lake Malawi ᛫	N(P)	Malawi+mere	NE‹O+NE	
malm		᛫ a soft crumbly chalky rock or the fertile loamy soil produced as it weathers ᛫	N	~[mealm]	NE	
malshave	malscafe	᛫ a caterpillar ᛫	N	malshave	ME	
mammer		᛫ to hesitate ᛫ to waver ᛫	V	~	NE	[MW]
mammer		᛫ deep sleep ᛫ a sopor ᛫	N	mamor	OE	
man		᛫ a person ᛫ a human ᛬ to garrison ᛫ to crew ᛫ to operate equipment or machinery ᛫	N	~	NE	
man		᛫ one ( generic pronoun ) ᛫	N	man	OE	generic pronoun "one" influenced by French "on"?
man		᛫ to admonish ᛫ exhort ᛫	V	manian	OE	
manbane		᛫ tobacco ( slang ) ᛫	N	~	ANE	
mandeed		᛫ an evil deed ᛫ a crime ᛫ a transgression ᛫	N	māndǣd	OE	
manful		᛫ brave and resolute ᛫	AJ	~	NE	
manibreed		᛫ multifaceted ᛫	AJ	manigbrǣde	OE	
manifold		᛫ diverse ᛫ numerous ᛫ complicated ᛫ complex ᛫ plural ᛬ to multiply ᛬ repeatedly ᛫	AJ᛬AV	manifold&manigfildan	NE&OE	
manifoldness		᛫ multiplicity ᛫ complexity ᛫	N	~[manigfealdness]	NE	
manikin		᛫ all kinds of ᛫ various ᛫	AJ	manikin	ME	
Manitoba Mere		᛫ Lake Manitoba ᛫	N(P)	Manitoba+mere	NE‹O+NE	
mank		᛫ to mutilate ᛫ to mangle ᛫ to maim ᛫	V	manken	ME	
mankind		᛫ humanity ᛫ humankind ᛫	N	~	NE	
manlike		᛫ a human form ᛫ an image of a man ᛫ a humanoid [ᚹ] ᛫	N	mannlīca	OE	
manmade		᛫ made or caused by human beings ᛫ artificial ᛫	AJ	manmade	NE	
Mannish	Mannisc	᛫ Manx language ᛬ Manx ᛫	N(P)᛬AJ(P)	Man+ish	NE‹C+NE	calque: Manx
mannish	mannisc	᛫ people ᛫ humanity ᛬ human ( of humans ) ᛫	N᛬AJ	mannish{mennish}	ME	
mannishly	manniscly	᛫ humanly ᛫	AV	mannisclīce	OE	
mannishness	manniscness	᛫ humanity ᛫ human nature ᛫ humaneness ᛫	N	manniscness	OE	
manoath	manoaþ	᛫ perjury ᛫	N	mānāþ	OE	
manqualm	mancƿalm	᛫ a plague of man ᛫	N	manqualm	ME	
manred		᛫ a pledge of service ᛫ homage ᛫	N	manrēden	ME	example: to nim/take/do/fang manred = to pay homage
manse		᛫ to excommunicate ᛫ to curse ᛫ to damn ᛫	V	mansen/amansen	ME	
manship	manscip	᛫ respect ᛫ dignity ᛫ gallantry ᛫ chivalry ᛫	N	~	NE	
manshiply	mansciply	᛫ honourably ᛫ courteously ᛫	AV	~	NE	
manslayer		᛫ one who commits homicide ᛫	N	~	NE	
manswear	mansƿear	᛫ to swear falsely ᛫ to perjure ᛫	V	~	NE	
manytongued	manytunged	᛫ polyglot ᛫	AJ	many+tongue+ed	NE×3	
mar		᛫ to spoil ᛫ to tarnish ᛫ to damage ᛫	V	~	NE	
mardy		᛫ spoiled ( as in " bratty " ) ᛫	AJ	~[marred]	NE	used in Leicestershire and Nottinghamshire
mare		᛫ a nightmare-causing entity ᛫	N	~	NE	
mark		᛫ feature ᛫ characteristic ᛫ attribute ᛫	N	~	NE	
marked		᛫ noticeable ᛫ conspicuous ᛫	AJ	~	NE	
markedly		᛫ noticeably ᛫ conspicuously ᛫	AV	~	NE	
Markish	Markisc	᛫ the Mercian tongue ᛬ Mercian ᛫	N᛬AJ	Marchisce	ME	
